,도서명,카테고리,정가,평점,리뷰수,태그
0,변화하는 세계 질서,경제/경영,"38,000",9.5,9,#빅사이클 #내부질서 #혼란 #투자 #작동원리 #미래전망 #분석자료
1,2022 ADsP 데이터 분석 준전문가,컴퓨터/IT,"28,000",9.2,0,#모의고사 #인사이트 #마이닝
2,나는 대출 없이 0원으로 소형 아파트를 산다,경제/경영,"20,000",9.4,14,#현금흐름표 #실거주 #포트폴리오 #절세 #노하우 #빅데이터 #공급량 #원칙 #지표분석
3,진짜 쓰는 실무 엑셀,컴퓨터/IT,"21,000",9.4,5,#쿼리 #피벗 테이블 #슬라이
4,데이터로 경험을 디자인하라,경제/경영,"19,000",9.0,9,#인사이트 #프레임워크 #잠재니즈 #입체적사고 #디자인씽킹 #라이프분석
5,그냥 하지 말라 10만부 기념 리커버에디션(색상랜덤),경제/경영,"17,000",9.6,3,#자본 #미래상 #빅데이터
6,SQL 자격검정 실전문제,컴퓨터/IT,"18,000",9.6,0,#고급 활용 #국가 공인 #아키텍처
7,비전공자를 위한 이해할 수 있는 IT 지식,컴퓨터/IT,"16,800",8.6,3,#IT기본문법 #프로그래밍언어 #운영체제 #네트워크 #API #JSON #데이터베이스 #이미지처리 #프레임워크 #라이브러리
8,2022 수제비 정보처리기사 필기 1권+2권 합본세트,컴퓨터/IT,"36,500",9.7,0,#프로시저 #소프트웨어 설계 #데이터베이스 구축
9,Do it! 쉽게 배우는 파이썬 데이터 분석,컴퓨터/IT,"23,000",10,1,#프로그래밍 #튜플 #딕셔너리
10,1일 1로그 100일 완성 IT 지식,컴퓨터/IT,"20,000",9.6,6,#IT수업 #컴퓨터과학 #명강의 #하드웨어 #통신 #데이터
11,만들면서 배우는 파이썬과 40개의 작품들,컴퓨터/IT,"18,800",10,7,#크롤링 #엑셀 파일 #네이버
12,2022 이기적 컴퓨터활용능력 2급 필기 기본서,컴퓨터/IT,"20,000",9.9,0,#스프레드시트 일반 #기출 변형 문제 #데이터 입력
13,"빅데이터, 인공지능을 만나다",경제/경영,"19,000",10,0,#경제전망 #디지털 #혁명 #트레스포메이션 #플랫폼 #분석 #구축 #활용 #운영
14,컨버티드: 마음을 훔치는 데이터분석의 기술,경제/경영,"17,800",0.0,0,#대화 #주도권 #관계 #욕망 #호기심 #성과 #테스트
15,데이터 천재들은 어떻게 기획하고 분석할까?,경제/경영,"18,000",9.5,14,#입문서 #사례 #빅데이터 #합리적 #의사결정
16,2022 에듀윌 한국사능력검정시험 2주끝장 심화,인문,"21,000",9.9,256,#급 합격 #빈출 #단기 합격
17,이기적 빅데이터분석기사 실기 기본서,컴퓨터/IT,"32,000",10,3,#파이썬 프로그래밍 #지도 학습 #전처리
18,면접을 위한 CS 전공지식 노트,컴퓨터/IT,"24,000",8.3,14,#스레드 #디자인 패턴 #무결성
19,팩트풀니스,인문,"19,800",9.5,67,#사실충실성 #탈진실 #편견
20,데이터 분석 전문가 가이드(ADP)(ADsP),컴퓨터/IT,"50,000원",10,10,#회귀분석 #로지스틱 회귀 #산점도
21,데이터아키텍처 전문가 가이드,컴퓨터/IT,"50,000원",8.9,5,#카이제곱 #시행처 #최신 출제 기준
